date,actual_close,lstm_pred,gru_pred
2015-04-29,122.240005,98.417046,113.09645
2015-04-30,118.94,98.5182,112.99948
2015-05-01,122.54001,98.49591,112.613716
2015-05-04,122.3,98.48784,112.60986
2015-05-05,119.57,98.495,112.696144
2015-05-06,118.80001,98.45316,112.55979
2015-05-07,119.55,98.378746,112.3934
2015-05-08,121.79,98.31894,112.36372
2015-05-11,120.54,98.28047,112.37282
2015-05-12,120.12,98.24203,112.34307
2015-05-13,120.26001,98.18066,112.20975
2015-05-14,123.07001,98.10238,112.06437
2015-05-15,122.89,98.07191,112.15798
2015-05-18,124.23,98.04325,112.169395
2015-05-19,124.10999,98.07123,112.40489
2015-05-20,124.1,98.15076,112.72292
2015-05-21,125.41,98.30465,113.19712
2015-05-22,126.490005,98.467766,113.44722
2015-05-26,123.72,98.652374,113.726006
2015-05-27,126.01,98.8197,113.884514
2015-05-28,125.75,99.017845,114.19102
2015-05-29,124.31,99.20694,114.37735
2015-06-01,124.57,99.31835,114.248604
2015-06-02,124.00001,99.413765,114.280235
2015-06-03,124.16,99.49041,114.31607
2015-06-04,123.47001,99.55332,114.36018
2015-06-05,122.770004,99.54533,114.145096
2015-06-08,121.97,99.49099,113.94618
2015-06-09,121.61001,99.37294,113.63693
2015-06-10,123.0,99.227715,113.4205
2015-06-11,122.71,99.12413,113.47235
2015-06-12,121.37,99.01569,113.41771
2015-06-15,121.12,98.85737,113.16015
2015-06-16,121.78,98.72578,113.13115
2015-06-17,121.49,98.56116,112.89988
2015-06-18,122.03001,98.39114,112.726105
2015-06-19,120.80999,98.2873,112.847176
2015-06-22,121.78,98.17521,112.774086
2015-06-23,121.23,98.1178,112.89194
2015-06-24,122.24999,98.069,112.88962
2015-06-25,121.69,98.076744,113.06123
2015-06-26,120.96,98.107834,113.17158
2015-06-29,118.83999,98.13884,113.19473
2015-06-30,119.7,98.11237,112.96406
2015-07-01,120.80999,98.04372,112.686195
2015-07-02,120.66001,97.99956,112.64777
2015-07-06,120.25,97.99059,112.72995
2015-07-07,119.95,97.98786,112.74332
2015-07-08,116.97,97.958244,112.60411
2015-07-09,114.58999,97.84898,112.2119
2015-07-10,117.65,97.64249,111.636215
2015-07-13,119.92,97.495575,111.56879
2015-07-14,119.87,97.42341,111.69144
2015-07-15,121.01999,97.39687,111.80543
2015-07-16,122.63,97.40426,111.89898
2015-07-17,123.72,97.47147,112.13167
2015-07-20,126.03,97.59853,112.45191
2015-07-21,124.78,97.820656,112.9984
2015-07-22,119.51,98.04349,113.28322
2015-07-23,119.450005,98.13886,113.010315
2015-07-24,118.81,98.159706,112.73756
2015-07-27,117.16999,98.13397,112.51274
2015-07-28,117.75,98.05713,112.24395
2015-07-29,117.39,97.99268,112.179016
2015-07-30,116.78,97.95476,112.20814
2015-07-31,115.76,97.87652,111.969215
2015-08-03,113.020004,97.71974,111.49586
2015-08-04,109.41,97.48435,110.933266
2015-08-05,110.12999,97.14307,110.18937
2015-08-06,110.37,96.74738,109.51277
2015-08-07,110.73999,96.32774,108.92759
